Dataset,Feature_Noise,Label_Noise,Model,C,k,Train Acc,Test Acc
breast_cancer,Clean,10%,NaiveSVM,1.0,,0.8857142857142857,0.8859649122807017
breast_cancer,Clean,10%,ProbSVM,1.0,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,NaiveSVM,10.0,,0.8879120879120879,0.868421052631579
breast_cancer,Clean,10%,ProbSVM,10.0,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,NaiveSVM,100.0,,0.8857142857142857,0.8508771929824561
breast_cancer,Clean,10%,ProbSVM,100.0,,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,KNNSVM,0.1,5.0,0.8835164835164835,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,0.1,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,0.1,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,0.1,5.0,0.8813186813186813,0.8947368421052632
breast_cancer,Clean,10%,SKiP-average-minmax,0.1,5.0,0.8813186813186813,0.8947368421052632
breast_cancer,Clean,10%,KNNSVM,1.0,5.0,0.8945054945054945,0.8859649122807017
breast_cancer,Clean,10%,SKiP-multiply,1.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,1.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,1.0,5.0,0.8879120879120879,0.9035087719298246
breast_cancer,Clean,10%,SKiP-average-minmax,1.0,5.0,0.8879120879120879,0.9035087719298246
breast_cancer,Clean,10%,KNNSVM,10.0,5.0,0.8989010989010989,0.8947368421052632
breast_cancer,Clean,10%,SKiP-multiply,10.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,10.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,10.0,5.0,0.8945054945054945,0.8596491228070176
breast_cancer,Clean,10%,SKiP-average-minmax,10.0,5.0,0.8945054945054945,0.8596491228070176
breast_cancer,Clean,10%,KNNSVM,100.0,5.0,0.8923076923076924,0.8859649122807017
breast_cancer,Clean,10%,SKiP-multiply,100.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-multiply-minmax,100.0,5.0,0.589010989010989,0.5877192982456141
breast_cancer,Clean,10%,SKiP-average,100.0,5.0,0.9010989010989011,0.8947368421052632
breast_cancer,Clean,10%,SKiP-average-minmax,100.0,5.0,0.9010989010989011,0.8947368421052632
breast_cancer,Clean,15%,NaiveSVM,0.1,,0.843956043956044,0.7807017543859649
breast_cancer,Clean,15%,ProbSVM,0.1,,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,NaiveSVM,1.0,,0.8505494505494505,0.7631578947368421
